Episode 1770/2500 | Avg Reward: -98.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1780/2500 | Avg Reward: -102.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1790/2500 | Avg Reward: -100.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 1800/2500 | Avg Reward: -111.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1810/2500 | Avg Reward: -101.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 1820/2500 | Avg Reward: -106.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1830/2500 | Avg Reward: -112.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 1840/2500 | Avg Reward: -105.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 1850/2500 | Avg Reward: -97.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 1860/2500 | Avg Reward: -111.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1870/2500 | Avg Reward: -112.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 1880/2500 | Avg Reward: -102.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 1890/2500 | Avg Reward: -112.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 1900/2500 | Avg Reward: -110.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1910/2500 | Avg Reward: -125.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 1920/2500 | Avg Reward: -110.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1930/2500 | Avg Reward: -116.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 1940/2500 | Avg Reward: -111.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 1950/2500 | Avg Reward: -106.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1960/2500 | Avg Reward: -103.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 1970/2500 | Avg Reward: -102.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 1980/2500 | Avg Reward: -104.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1990/2500 | Avg Reward: -101.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 2000/2500 | Avg Reward: -104.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 2010/2500 | Avg Reward: -99.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 2020/2500 | Avg Reward: -98.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 2030/2500 | Avg Reward: -102.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 2040/2500 | Avg Reward: -101.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 2050/2500 | Avg Reward: -97.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 2060/2500 | Avg Reward: -100.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 2070/2500 | Avg Reward: -100.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 2080/2500 | Avg Reward: -104.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 2090/2500 | Avg Reward: -103.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 2100/2500 | Avg Reward: -105.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 2110/2500 | Avg Reward: -99.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 2120/2500 | Avg Reward: -98.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 2130/2500 | Avg Reward: -96.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 2140/2500 | Avg Reward: -107.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 2150/2500 | Avg Reward: -99.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 2160/2500 | Avg Reward: -120.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 2170/2500 | Avg Reward: -115.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 2180/2500 | Avg Reward: -124.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 2190/2500 | Avg Reward: -118.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 2200/2500 | Avg Reward: -132.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 2210/2500 | Avg Reward: -117.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 2220/2500 | Avg Reward: -124.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 2230/2500 | Avg Reward: -126.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 2240/2500 | Avg Reward: -117.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 2250/2500 | Avg Reward: -108.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 2260/2500 | Avg Reward: -114.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 2270/2500 | Avg Reward: -136.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 2280/2500 | Avg Reward: -112.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 2290/2500 | Avg Reward: -117.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 2300/2500 | Avg Reward: -106.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 2310/2500 | Avg Reward: -102.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 2320/2500 | Avg Reward: -104.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 2330/2500 | Avg Reward: -100.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 2340/2500 | Avg Reward: -103.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 2350/2500 | Avg Reward: -122.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 2360/2500 | Avg Reward: -121.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 2370/2500 | Avg Reward: -128.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 2380/2500 | Avg Reward: -142.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 2390/2500 | Avg Reward: -135.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 2400/2500 | Avg Reward: -114.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 2410/2500 | Avg Reward: -120.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 2420/2500 | Avg Reward: -102.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 2430/2500 | Avg Reward: -124.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 2440/2500 | Avg Reward: -116.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 2450/2500 | Avg Reward: -119.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 2460/2500 | Avg Reward: -107.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 2470/2500 | Avg Reward: -99.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 2480/2500 | Avg Reward: -103.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 2490/2500 | Avg Reward: -108.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 2500/2500 | Avg Reward: -107.10 | Epsilon: 0.0100 | Buffer: 100000
Saved DQN agent to saves/dqn_mountaincar.pt
Training complete.
